"Height","Phos","Potas","Sulf","Planting","Type","Temp","Quality"
23.2,96,298,40,2022-03-20,"Vanda",26.5,5
5.5,97,275,35,2022-03-13,"Oncidium",20.9,6
12,0,270,36,2022-03-14,"Phalaenopsis",25.2,4
18.8,93,272,33,2022-03-24,"Phalaenopsis",27.3,8
15.5,94,252,34,2022-03-20,"Miltoniopsis",19.3,6
6,66,303,33,2022-03-15,"Cattleya",21.2,6
6.7,78,258,35,2022-03-06,"Paphiopedalum",19,5
16.6,95,278,35,2022-03-31,"Miltoniopsis",18.5,4
8,0,276,30,2022-03-26,"Paphiopedalum",20.3,9
6.4,71,260,38,2022-03-27,"Paphiopedalum",21.2,7
16.6,0,282,35,2022-03-17,"Phalaenopsis",24.6,8
18.3,70,301,34,2022-03-06,"Cambria",21.6,5
6.7,0,0,35,2022-04-17,"Paphiopedalum",20.4,3
8.3,85,274,32,2022-04-03,"Cattleya",20.6,5
16.7,88,288,39,2022-03-27,"Cambria",19.8,6
5.4,70,275,40,2022-03-16,"Oncidium",20.7,10
5.9,78,311,37,2022-03-09,"Oncidium",21.1,7
20.2,76,266,35,2022-03-26,"Vanda",25.9,6
12.6,78,233,34,2022-03-02,"Miltoniopsis",19.7,6
18.5,83,267,36,2022-03-22,"Vanda",24.7,8
7.3,80,286,34,2022-03-31,"Oncidium",21.3,5
2.7,75,295,34,2022-03-20,"Odontoglossum",18.2,7
11,97,342,38,2022-04-08,"Miltoniopsis",17,5
21,94,295,36,2022-03-18,"Vanda",25.8,5
21.4,76,323,37,2022-03-12,"Vanda",26.7,4
10.9,86,280,34,2022-03-11,"Cattleya",22,6
14.5,61,272,35,2022-03-28,"Phalaenopsis",27.1,7
13.7,83,284,35,2022-03-16,"Phalaenopsis",23.8,8
12,95,268,39,2022-03-13,"Miltoniopsis",20.1,8
16.9,73,280,35,2022-03-08,"Cymbidium",18.5,3
20.3,0,232,38,2022-04-07,"Cambria",21.7,7
7.1,68,301,36,2022-03-28,"Paphiopedalum",20.5,6
13.3,0,286,36,2022-03-29,"Phalaenopsis",25,6
22.3,77,280,36,2022-03-29,"Vanda",28.7,7
8.5,85,290,39,2022-04-18,"Cattleya",19.7,5
3.6,66,254,34,2022-03-25,"Odontoglossum",20.9,4
3.4,76,270,0,2022-04-02,"Odontoglossum",20.1,6
19.7,81,0,36,2022-03-09,"Vanda",23.9,8
30.4,72,263,40,2022-03-21,"Dendrobium",18,9
6.8,64,259,37,2022-03-25,"Oncidium",19.1,8
6.7,65,296,41,2022-03-21,"Paphiopedalum",20.6,8
3.5,80,239,34,2022-03-23,"Odontoglossum",18.3,6
21.1,72,265,33,2022-03-30,"Vanda",26.1,8
7.3,71,274,36,2022-04-01,"Cattleya",21.6,5
16.6,69,238,35,2022-03-18,"Cambria",20.7,5
12,80,301,36,2022-04-01,"Miltoniopsis",18.9,5
20.6,82,285,31,2022-04-14,"Vanda",26.3,7
16.4,78,260,33,2022-04-01,"Cambria",21.7,9
3.6,71,256,38,2022-04-16,"Odontoglossum",20.8,8
3.4,0,255,37,2022-03-14,"Odontoglossum",19.5,7
19.7,0,293,33,2022-03-18,"Cambria",19.9,3
7.6,0,287,36,2022-03-29,"Cattleya",20,8
12.7,74,311,38,2022-04-05,"Phalaenopsis",26.6,4
6.2,87,286,41,2022-03-06,"Oncidium",19.9,6
13.3,71,251,39,2022-04-03,"Miltoniopsis",18.3,6
8.1,70,0,35,2022-04-06,"Cattleya",20.6,5
6.5,86,263,36,2022-03-29,"Paphiopedalum",19.2,6
7.3,91,300,36,2022-03-28,"Paphiopedalum",22.7,6
3.1,96,246,36,2022-03-17,"Odontoglossum",19.7,8
17,82,252,36,2022-03-25,"Cambria",20.8,10
7,102,0,35,2022-03-21,"Paphiopedalum",20.6,8
22.3,73,251,35,2022-03-31,"Dendrobium",19.3,9
20.3,79,0,0,2022-03-17,"Vanda",24.2,8
8.3,79,262,32,2022-03-19,"Cattleya",21.4,9
20.7,88,281,37,2022-03-03,"Vanda",24.8,4
11.3,83,274,36,2022-03-25,"Cattleya",21.4,7
18.9,83,284,0,2022-03-21,"Cymbidium",19.8,5
8,83,0,34,2022-03-26,"Paphiopedalum",21.3,7
3,68,274,38,2022-03-22,"Odontoglossum",17.1,5
21.9,67,290,38,2022-03-17,"Vanda",27.7,6
8.5,72,325,33,2022-03-29,"Cattleya",21,6
6.4,87,265,36,2022-03-11,"Oncidium",22.2,4
6.1,71,251,39,2022-03-16,"Oncidium",20.9,6
15.1,66,0,39,2022-03-16,"Cambria",21.7,4
14.2,79,259,30,2022-03-26,"Cymbidium",16.3,7
12,71,278,38,2022-04-11,"Phalaenopsis",27.9,6
26.5,97,306,35,2022-03-11,"Dendrobium",17.3,4
11.5,83,263,37,2022-03-29,"Miltoniopsis",18.7,2
3.4,81,284,34,2022-04-20,"Odontoglossum",18.4,7
7.3,0,255,38,2022-03-08,"Cattleya",19.6,6
15.9,93,287,36,2022-04-04,"Cymbidium",19.8,7
17.1,71,265,34,2022-04-21,"Miltoniopsis",19.5,2
8.4,64,285,38,2022-03-13,"Paphiopedalum",19.4,8
20.8,80,0,40,2022-03-15,"Vanda",27.5,6
23.3,79,258,37,2022-03-24,"Dendrobium",18.6,10
13.7,68,258,34,2022-03-19,"Phalaenopsis",24.1,8
2.9,72,272,0,2022-04-18,"Odontoglossum",18.5,5
23.9,0,263,38,2022-04-06,"Dendrobium",17.6,9
8,81,270,38,2022-04-01,"Miltoniopsis",16.6,6
8.5,89,261,39,2022-03-17,"Cattleya",19.7,7
5.5,82,302,30,2022-03-14,"Oncidium",19.8,9
17.6,92,296,37,2022-03-11,"Cambria",20,4
6.7,81,272,33,2022-04-01,"Paphiopedalum",22.2,7
13.8,73,312,35,2022-04-10,"Miltoniopsis",17.3,2
7.6,80,298,38,2022-04-03,"Paphiopedalum",21,4
15.5,0,294,33,2022-04-04,"Miltoniopsis",19.3,3
7.1,84,0,40,2022-03-04,"Oncidium",21.9,6
15.9,82,264,40,2022-04-06,"Cymbidium",19.6,5
8.4,0,266,0,2022-04-03,"Oncidium",20.7,6
2.6,66,276,32,2022-03-10,"Odontoglossum",17,3
13.5,70,290,36,2022-03-10,"Cambria",21.1,3
16,75,318,38,2022-04-03,"Cymbidium",19.9,5
15.2,84,316,35,2022-03-24,"Cymbidium",18.4,5
16.9,86,271,39,2022-04-05,"Miltoniopsis",18.5,3
9.5,81,281,34,2022-04-13,"Cattleya",20,5
14.2,89,250,0,2022-04-12,"Cymbidium",17.5,4
16.9,60,272,35,2022-03-21,"Cambria",20.9,8
25.2,53,265,34,2022-04-15,"Dendrobium",18,6
19,67,263,38,2022-03-10,"Vanda",24.6,4
24.5,95,0,36,2022-04-08,"Vanda",26,7
19.9,92,274,33,2022-03-13,"Cambria",20.6,4
15.2,75,292,34,2022-03-19,"Cymbidium",20.6,7
14.1,79,257,42,2022-03-18,"Cymbidium",18.8,7
8,80,329,37,2022-03-25,"Paphiopedalum",21.1,5
18.4,86,243,0,2022-03-22,"Miltoniopsis",19.2,6
15.8,75,259,37,2022-03-14,"Phalaenopsis",24.6,5
13.6,71,292,39,2022-03-25,"Cymbidium",17.9,7
14.3,76,269,38,2022-04-04,"Phalaenopsis",26.2,10
9.4,91,287,38,2022-03-15,"Oncidium",21.2,8
3.8,76,279,39,2022-03-02,"Odontoglossum",17.7,4
8.3,62,267,34,2022-04-10,"Cattleya",20.1,5
16.3,90,281,38,2022-03-13,"Cambria",21.6,6
7.7,72,281,35,2022-04-06,"Oncidium",20.6,7
22.3,79,270,34,2022-04-08,"Vanda",25.6,6
12.1,71,280,0,2022-04-13,"Cymbidium",18.7,9
6.5,88,309,38,2022-03-24,"Paphiopedalum",22.1,6
16.6,78,234,37,2022-04-11,"Cambria",22,5
20.6,88,225,32,2022-04-01,"Cambria",21.5,6
7.9,86,266,38,2022-03-13,"Paphiopedalum",20.5,8
8,88,287,39,2022-03-17,"Oncidium",22.4,8
14.9,74,329,0,2022-03-14,"Cymbidium",19.2,4
17.8,81,280,36,2022-04-04,"Phalaenopsis",26.9,9
12.8,72,285,39,2022-03-18,"Phalaenopsis",23.8,7
7.6,59,286,38,2022-03-26,"Paphiopedalum",21.3,5
14.9,0,253,38,2022-03-15,"Miltoniopsis",17.4,7
29.1,76,246,35,2022-04-21,"Dendrobium",18.9,7
27.3,88,247,33,2022-03-17,"Dendrobium",18.1,7
21.4,97,284,34,2022-04-16,"Vanda",24,6
15.9,72,314,40,2022-04-13,"Miltoniopsis",18.1,4
9.8,89,259,36,2022-03-30,"Cattleya",20.8,5
27.7,66,304,34,2022-04-12,"Dendrobium",19,6
14.2,86,275,39,2022-04-01,"Miltoniopsis",16.8,6
12.5,66,260,38,2022-03-29,"Phalaenopsis",25,7
8.2,77,309,39,2022-03-15,"Cattleya",20,8
6.1,79,286,31,2022-03-23,"Paphiopedalum",19.4,6
15.5,102,310,34,2022-03-09,"Miltoniopsis",19.3,5
18.8,113,271,36,2022-04-06,"Phalaenopsis",26.8,5
8.5,83,281,29,2022-03-12,"Oncidium",19.9,7
6.9,82,291,39,2022-03-29,"Oncidium",21.4,8
21.7,80,249,37,2022-03-24,"Vanda",25.4,8
12.5,84,234,37,2022-04-09,"Miltoniopsis",20.5,4
19.5,75,254,36,2022-03-18,"Dendrobium",17.2,8
9.2,77,281,41,2022-03-22,"Paphiopedalum",22.3,6
22.5,91,282,36,2022-03-03,"Dendrobium",18.8,7
12.4,87,296,40,2022-03-21,"Cymbidium",18.9,6
16.6,96,266,34,2022-03-16,"Cymbidium",18.3,6
13.7,81,0,36,2022-03-24,"Phalaenopsis",26.9,8
14.1,73,258,38,2022-03-30,"Miltoniopsis",19,3
12.3,66,314,39,2022-04-10,"Cymbidium",19.5,7
6.2,74,290,35,2022-03-22,"Paphiopedalum",19.8,6
7.7,87,303,34,2022-04-09,"Paphiopedalum",22.6,5
3.2,88,297,36,2022-03-17,"Odontoglossum",19.7,4
6.7,74,298,36,2022-03-27,"Cattleya",20.6,6
3.7,81,258,36,2022-04-03,"Odontoglossum",20.2,7
7.6,82,299,36,2022-03-31,"Oncidium",20.8,6
22.9,88,313,35,2022-03-13,"Vanda",27.7,8
17.8,88,0,39,2022-03-19,"Miltoniopsis",18.6,7
7.6,72,276,39,2022-04-05,"Cattleya",20.9,9
3.7,96,273,38,2022-04-08,"Odontoglossum",20.8,8
15,0,274,40,2022-04-08,"Phalaenopsis",25.5,7
13.3,79,246,40,2022-04-05,"Phalaenopsis",26.3,8
21.9,73,275,41,2022-03-29,"Vanda",28.7,8
17.1,90,256,0,2022-03-26,"Cambria",21.9,4
3.1,65,282,33,2022-04-08,"Odontoglossum",18.9,6
13.1,0,0,0,2022-03-19,"Cymbidium",18.9,5
22.8,82,346,38,2022-04-03,"Dendrobium",19.4,8
14.1,74,297,34,2022-03-16,"Phalaenopsis",26.4,7
6.8,84,277,37,2022-03-05,"Oncidium",20,5
7.8,76,0,40,2022-03-16,"Oncidium",22,6
13.3,80,0,38,2022-03-27,"Phalaenopsis",26.3,5
5.8,77,296,34,2022-04-08,"Oncidium",19.8,8
17.3,77,268,0,2022-04-05,"Cambria",21.1,7
10.2,70,303,37,2022-04-08,"Paphiopedalum",22.1,3
7.5,80,279,38,2022-03-16,"Paphiopedalum",20.3,8
6.9,71,253,34,2022-03-16,"Oncidium",20.7,6
6.2,88,278,0,2022-03-22,"Oncidium",22.1,8
18.6,0,302,33,2022-04-15,"Cambria",20.6,6
3.4,0,277,36,2022-04-12,"Odontoglossum",17.4,7
3.1,102,286,35,2022-03-03,"Odontoglossum",17.9,6
12.6,81,242,40,2022-03-18,"Cymbidium",18.5,7
8.4,99,267,36,2022-03-06,"Cattleya",20.9,4
13.5,85,294,40,2022-03-22,"Phalaenopsis",24.5,6
17.1,0,0,33,2022-03-18,"Cambria",21.1,7
15.7,82,250,35,2022-04-17,"Cambria",20.8,4
7.6,97,285,35,2022-04-05,"Oncidium",21.2,7
12.7,61,254,37,2022-03-20,"Cymbidium",18.6,5
2.9,91,261,37,2022-04-08,"Odontoglossum",19.5,7
23.3,80,324,38,2022-03-30,"Vanda",27.4,8
14.3,66,286,33,2022-04-15,"Miltoniopsis",17,4
27.5,0,254,41,2022-03-11,"Vanda",28.3,4
17.6,87,287,38,2022-04-05,"Vanda",25.4,7
16.8,96,288,34,2022-03-11,"Cambria",21.9,4
6.9,73,309,36,2022-04-20,"Paphiopedalum",22.6,2
7.5,96,274,38,2022-03-28,"Cattleya",21.3,10
12.9,67,286,38,2022-04-01,"Cymbidium",17.6,7
15.8,105,239,35,2022-04-12,"Miltoniopsis",18.3,5
12.4,94,230,35,2022-03-17,"Phalaenopsis",25.9,7
6.4,87,285,39,2022-04-24,"Oncidium",20.2,2
3.6,68,266,38,2022-03-27,"Odontoglossum",18.5,7
3.5,87,302,37,2022-03-13,"Odontoglossum",18.9,6
3.8,89,334,37,2022-04-02,"Odontoglossum",19.9,8
15.7,91,284,35,2022-04-20,"Miltoniopsis",17.6,4
2.8,0,269,35,2022-03-02,"Odontoglossum",16.6,3
22.4,86,304,34,2022-03-18,"Vanda",26.9,7
18.9,0,247,33,2022-04-02,"Miltoniopsis",18,7
16.8,63,236,0,2022-03-19,"Cambria",20.6,5
25.1,65,311,41,2022-04-10,"Dendrobium",19.9,7
6.7,59,0,38,2022-03-19,"Cattleya",21.3,7
14.5,83,0,38,2022-03-16,"Cymbidium",20.6,5
7.2,70,273,37,2022-03-25,"Cattleya",19.4,9
6.2,0,300,34,2022-03-27,"Oncidium",19.7,9
24,75,0,30,2022-04-23,"Dendrobium",19.2,6
18.4,0,286,0,2022-03-09,"Vanda",25.9,3
19.3,70,308,40,2022-03-15,"Vanda",25.1,5
16,106,281,39,2022-03-19,"Cymbidium",19.1,6
15.2,101,299,38,2022-04-06,"Miltoniopsis",19.8,5
3.5,91,304,37,2022-04-14,"Odontoglossum",19.6,4
14,73,303,39,2022-03-16,"Cymbidium",16.9,7
19.7,81,248,35,2022-04-01,"Vanda",27.8,9
14.5,80,241,35,2022-04-22,"Phalaenopsis",27,4
21,77,288,39,2022-04-01,"Dendrobium",18.1,10
17.1,87,292,32,2022-03-11,"Phalaenopsis",28.2,6
8,67,245,37,2022-03-28,"Oncidium",19.4,7
13.6,77,266,33,2022-03-19,"Miltoniopsis",19.5,6
19.5,80,0,36,2022-03-15,"Cambria",20.2,6
7.2,82,263,34,2022-04-04,"Paphiopedalum",20.4,5
8.4,73,270,39,2022-03-31,"Paphiopedalum",22.5,4
7.6,86,284,34,2022-04-02,"Paphiopedalum",20.8,6
8.1,80,327,35,2022-03-19,"Paphiopedalum",19.7,8
19.3,87,300,39,2022-03-26,"Cambria",21.5,6
10.3,81,256,39,2022-03-18,"Cymbidium",19.7,5
14.6,79,296,31,2022-03-23,"Phalaenopsis",26.9,7
20.6,91,299,0,2022-03-18,"Vanda",24.8,6
13.1,89,302,0,2022-04-12,"Cymbidium",18,8
5.9,86,328,39,2022-04-09,"Oncidium",20.1,5
26.6,0,280,32,2022-04-06,"Vanda",27.9,7
27.7,92,266,38,2022-03-30,"Dendrobium",19.7,7
6.4,82,351,38,2022-04-06,"Paphiopedalum",21.3,2
5.2,74,278,37,2022-03-29,"Paphiopedalum",21.4,7
25.3,85,270,41,2022-04-12,"Vanda",26.1,5
7.7,60,322,39,2022-03-26,"Oncidium",22.3,9
13.9,0,289,34,2022-04-02,"Phalaenopsis",25.3,6
28.6,81,286,40,2022-03-28,"Dendrobium",18.2,10
12.2,107,264,36,2022-04-07,"Miltoniopsis",17,2
16.1,95,276,37,2022-03-11,"Miltoniopsis",19.2,7
7.7,66,258,42,2022-03-25,"Oncidium",20.5,8
27.3,86,0,33,2022-03-11,"Dendrobium",20,4
4.8,91,263,38,2022-03-14,"Oncidium",21.5,5
28,70,287,40,2022-03-17,"Dendrobium",19.4,6
5.4,87,297,37,2022-03-17,"Paphiopedalum",21.1,7
6.6,67,279,34,2022-04-01,"Oncidium",22.4,7
3.8,88,314,30,2022-04-03,"Odontoglossum",19.9,8
15.6,78,309,33,2022-03-31,"Phalaenopsis",26.2,8
13.7,66,280,34,2022-03-09,"Cymbidium",18.4,6
14,64,299,36,2022-04-23,"Cymbidium",17.6,7
20.6,89,245,33,2022-04-20,"Vanda",27.3,5
7.9,70,0,42,2022-04-02,"Paphiopedalum",20.5,5
15.5,95,279,39,2022-03-29,"Cymbidium",20,6
2.9,90,252,37,2022-03-24,"Odontoglossum",17.7,7
8.7,75,224,0,2022-03-15,"Cattleya",21.8,6
7.8,68,0,40,2022-04-08,"Paphiopedalum",20.1,6
22.9,81,287,35,2022-03-08,"Vanda",27.8,6
10.2,80,298,35,2022-03-21,"Cymbidium",19.7,6
9.7,91,237,36,2022-03-13,"Cattleya",21.2,6
7.3,83,262,33,2022-03-20,"Cattleya",20.5,9
12.7,62,302,41,2022-03-09,"Phalaenopsis",26.7,3
26.4,95,284,37,2022-03-16,"Dendrobium",18.7,8
7.9,86,0,36,2022-04-14,"Paphiopedalum",21.6,5
13.5,72,323,36,2022-04-07,"Cambria",22.4,7
24.4,87,330,0,2022-04-08,"Vanda",25.5,9
7.6,74,290,34,2022-04-19,"Oncidium",22,4
5.4,67,0,37,2022-03-23,"Oncidium",20.8,8
18.6,73,254,35,2022-03-07,"Cambria",20.4,7
9.4,88,295,0,2022-03-13,"Cattleya",20.8,8
13.8,69,0,40,2022-03-27,"Phalaenopsis",25.7,8
7.1,64,298,40,2022-03-12,"Cattleya",21.3,6
12.8,59,304,32,2022-04-01,"Phalaenopsis",24.3,6
18,94,310,38,2022-03-03,"Cambria",19.7,4
3.3,80,334,41,2022-03-04,"Odontoglossum",18.8,7
14.7,0,282,37,2022-03-11,"Miltoniopsis",17.6,5
5.1,83,265,37,2022-04-04,"Oncidium",20.2,7
8,81,0,34,2022-03-21,"Paphiopedalum",22.6,8
7.7,82,276,33,2022-03-30,"Cattleya",20.1,7
27.4,88,256,33,2022-03-25,"Vanda",24,5
28.8,0,296,39,2022-03-13,"Dendrobium",20.5,7
15.7,74,321,33,2022-04-02,"Cambria",20.8,6
5.1,82,0,39,2022-03-23,"Oncidium",20.6,7
25.4,77,287,34,2022-04-09,"Dendrobium",18.1,6
2.7,86,269,32,2022-04-06,"Odontoglossum",17.2,8
14.5,66,277,34,2022-04-10,"Cymbidium",18,7
15,87,288,37,2022-03-14,"Miltoniopsis",19.4,5
25.1,79,236,42,2022-04-08,"Dendrobium",20.4,8
6.8,61,293,34,2022-04-08,"Oncidium",22.4,7
2.6,64,320,36,2022-03-13,"Odontoglossum",18.1,7
23.6,63,262,0,2022-03-21,"Vanda",28.3,5
5.9,81,247,34,2022-03-25,"Cattleya",21.6,9
26.5,61,260,35,2022-03-16,"Dendrobium",17.4,8
13,0,288,40,2022-03-15,"Cymbidium",20,6
15.8,83,0,36,2022-03-19,"Phalaenopsis",26.6,6
8,87,266,0,2022-04-11,"Cattleya",21.6,5
22.6,76,284,0,2022-03-30,"Vanda",25.4,8
15,69,259,36,2022-03-19,"Phalaenopsis",25.9,6
23.3,78,300,38,2022-03-29,"Dendrobium",19.8,7
20,77,252,36,2022-03-30,"Cambria",22.1,8
6.1,83,287,34,2022-03-30,"Cattleya",20.5,7
13.4,79,287,0,2022-04-19,"Phalaenopsis",26.6,6
16.3,69,250,33,2022-04-02,"Miltoniopsis",18.7,7
7.3,75,312,37,2022-04-05,"Oncidium",22.2,4
14.1,78,316,37,2022-03-16,"Phalaenopsis",27.5,6
20.6,66,257,36,2022-03-16,"Vanda",26.1,7
15.8,0,289,39,2022-04-10,"Cymbidium",18.7,7
3.3,0,249,38,2022-03-25,"Odontoglossum",19.5,8
15,0,304,36,2022-03-14,"Miltoniopsis",19.8,7
33.6,77,292,36,2022-04-05,"Dendrobium",18.5,10
16.9,72,0,37,2022-04-08,"Cambria",21.4,6
19,72,264,0,2022-03-21,"Vanda",24.5,7
10.7,74,291,36,2022-04-02,"Cymbidium",19.5,9
3.4,71,287,37,2022-03-31,"Odontoglossum",19.3,7
6.3,71,280,39,2022-03-23,"Paphiopedalum",21.4,5
2.6,80,270,37,2022-03-21,"Odontoglossum",17.9,7
7.4,94,279,43,2022-03-26,"Oncidium",20.8,8
16,89,0,37,2022-03-30,"Cymbidium",17.8,6
8.1,82,285,36,2022-03-11,"Paphiopedalum",20.5,9
6.6,0,301,36,2022-04-03,"Paphiopedalum",21.8,5
12.4,73,310,38,2022-03-17,"Cymbidium",16.9,5
15.1,90,274,37,2022-03-30,"Cymbidium",19.7,9
20.9,64,287,39,2022-03-26,"Dendrobium",19.3,7
16.3,100,292,32,2022-03-31,"Miltoniopsis",19.1,5
17.2,73,298,42,2022-04-04,"Vanda",27.4,8
12.2,75,300,40,2022-03-06,"Cymbidium",18.2,4
26.1,76,0,36,2022-03-10,"Dendrobium",20.1,6
2.7,82,253,36,2022-03-06,"Odontoglossum",19.6,3
3.5,93,282,34,2022-04-08,"Odontoglossum",19.8,8
14.5,82,0,0,2022-03-14,"Miltoniopsis",18.9,8
12.7,86,289,35,2022-04-15,"Cambria",21.5,8
8.5,77,289,37,2022-04-01,"Cattleya",21.3,8
7.2,71,293,0,2022-03-27,"Cattleya",20.7,6
7.5,77,309,41,2022-04-13,"Oncidium",21.9,6
14.5,0,261,0,2022-04-06,"Phalaenopsis",26.9,7
21.9,71,261,39,2022-03-26,"Dendrobium",17.7,8
12.4,114,259,31,2022-03-19,"Phalaenopsis",28.6,5
21.7,81,276,33,2022-03-28,"Vanda",25.2,4
9,71,267,37,2022-04-11,"Cattleya",22.6,6
16,68,268,0,2022-04-12,"Phalaenopsis",24.2,5
18.7,0,278,36,2022-03-14,"Miltoniopsis",18.2,5
18.7,73,0,36,2022-03-16,"Vanda",25,8
17.8,79,265,34,2022-04-01,"Miltoniopsis",20.6,7
7.3,76,261,35,2022-04-22,"Cattleya",19.8,4
13.2,85,245,41,2022-03-25,"Phalaenopsis",25.5,9
7,78,263,34,2022-04-05,"Cattleya",20.9,8
24.9,0,276,38,2022-03-17,"Dendrobium",20.6,7
18.9,86,303,36,2022-03-31,"Cambria",22,10
21.3,86,278,0,2022-04-03,"Dendrobium",19.7,8
23.4,92,269,36,2022-04-08,"Dendrobium",19.6,5
17.8,71,290,34,2022-03-24,"Cambria",21.2,9
6.8,64,284,36,2022-03-12,"Oncidium",19.7,9
22.2,0,263,37,2022-03-18,"Dendrobium",18,8
14.1,70,262,36,2022-03-17,"Miltoniopsis",20.5,7
6.7,76,269,36,2022-03-17,"Oncidium",20.3,9
14.8,91,255,0,2022-03-25,"Cymbidium",18.2,6
8.1,63,244,0,2022-04-08,"Paphiopedalum",22.3,7
27.9,73,254,38,2022-03-20,"Dendrobium",18.8,6
5.8,79,296,0,2022-03-26,"Paphiopedalum",21,7
8.2,91,287,39,2022-03-29,"Cattleya",21.1,9
21.8,72,0,34,2022-03-29,"Vanda",24.9,7
6.4,62,298,35,2022-03-22,"Cattleya",21.7,7
24.9,72,273,37,2022-03-22,"Dendrobium",19.4,6
8.6,77,293,35,2022-03-28,"Cattleya",20.9,5
18.1,67,274,32,2022-03-11,"Cambria",21.3,2
5.2,86,0,36,2022-04-04,"Oncidium",21.3,7
14.6,81,295,35,2022-03-24,"Phalaenopsis",26.6,7
3.6,0,294,32,2022-04-03,"Odontoglossum",18.8,10
13.7,84,0,31,2022-04-12,"Cymbidium",18.8,9
17.9,74,280,0,2022-03-24,"Cambria",19.6,6
6.4,67,268,36,2022-04-04,"Paphiopedalum",21,6
16.3,75,262,0,2022-04-03,"Cambria",20.2,8
6.9,0,324,35,2022-03-06,"Paphiopedalum",20.1,10
7.7,64,293,40,2022-04-19,"Paphiopedalum",21.1,3
28.4,85,0,34,2022-03-10,"Dendrobium",19.2,7
29.2,79,257,35,2022-03-27,"Dendrobium",18.9,7
20.1,77,269,36,2022-03-09,"Vanda",25.3,3
2.7,65,266,36,2022-03-11,"Odontoglossum",17.4,5
16.7,78,286,37,2022-03-16,"Vanda",24.1,6
13.5,0,260,36,2022-03-31,"Cambria",21.3,6
16.7,67,257,34,2022-03-12,"Cambria",21.8,5
14.1,90,253,37,2022-03-06,"Phalaenopsis",26.9,4
6.7,73,0,0,2022-03-11,"Oncidium",21.5,6
11.4,71,288,31,2022-04-01,"Cambria",21.5,7
16.8,93,253,34,2022-03-27,"Phalaenopsis",27,8
18.4,77,315,33,2022-04-08,"Miltoniopsis",20.3,4
8.8,81,290,36,2022-04-08,"Paphiopedalum",21,4
19.3,91,264,34,2022-03-20,"Miltoniopsis",18.3,7
6.2,82,268,37,2022-03-12,"Cattleya",19.3,5
9.3,87,233,33,2022-04-05,"Cattleya",19.4,7
6.4,94,286,36,2022-03-16,"Oncidium",21.7,7
8.6,81,318,41,2022-03-25,"Cattleya",21.7,8
29.9,67,264,36,2022-03-29,"Dendrobium",18.1,6
15.1,80,296,33,2022-04-07,"Cambria",20.6,8
13.5,70,303,35,2022-04-02,"Phalaenopsis",27.1,9
18.3,103,285,32,2022-03-14,"Cambria",20.4,3
17.1,101,308,37,2022-04-08,"Cambria",19.8,8
19.4,73,267,0,2022-03-19,"Vanda",26.1,6
20.5,76,362,0,2022-03-06,"Cambria",21.6,5
17.3,76,0,39,2022-03-21,"Cambria",20.3,5
7.5,82,297,40,2022-03-09,"Paphiopedalum",22.6,7
2.9,72,238,38,2022-03-27,"Odontoglossum",16.7,7
7.7,81,268,0,2022-03-15,"Cattleya",22.5,7
8,77,306,35,2022-03-23,"Oncidium",20.6,8
28.5,101,271,0,2022-03-29,"Dendrobium",18.8,7
14.1,81,269,34,2022-04-03,"Cambria",20.3,9
12.9,80,300,37,2022-04-02,"Cymbidium",19.3,6
20.4,81,290,39,2022-03-23,"Vanda",28,7
15.1,78,273,33,2022-03-24,"Cymbidium",17,6
7.9,66,236,37,2022-04-03,"Cattleya",21.2,7
16.5,74,280,37,2022-03-30,"Vanda",24.9,9
7.8,91,288,32,2022-03-23,"Oncidium",20.6,8
6.5,84,274,35,2022-03-31,"Paphiopedalum",22.3,7
18.7,81,262,32,2022-03-21,"Phalaenopsis",26.2,9
15.1,0,278,41,2022-03-07,"Phalaenopsis",27.8,4
3.5,81,271,37,2022-03-21,"Odontoglossum",19.4,6
8.3,86,293,0,2022-03-15,"Paphiopedalum",20.4,6
12.6,89,320,39,2022-04-08,"Miltoniopsis",17.1,6
18.3,94,0,39,2022-03-27,"Phalaenopsis",25.6,5
9,85,236,30,2022-03-09,"Paphiopedalum",21.8,6
3.8,105,288,37,2022-03-31,"Odontoglossum",19.2,8
7.1,82,281,34,2022-03-30,"Paphiopedalum",21.9,6
15.4,79,292,32,2022-03-24,"Cymbidium",17.9,6
9.1,76,267,0,2022-03-24,"Phalaenopsis",23.8,9
18,73,0,36,2022-04-15,"Cambria",21.2,8
16.2,76,0,39,2022-04-17,"Cymbidium",17.1,7
7.8,85,280,32,2022-03-10,"Paphiopedalum",21.3,6
11,80,296,38,2022-03-17,"Cattleya",22.8,8
26.1,72,293,38,2022-03-19,"Dendrobium",18.7,8
9,69,302,34,2022-04-13,"Oncidium",21.5,5
9.2,80,282,0,2022-04-23,"Cattleya",21,2
16.7,0,276,42,2022-04-15,"Miltoniopsis",16.8,4
13.5,80,307,0,2022-04-14,"Miltoniopsis",18.7,1
16.6,84,321,34,2022-03-28,"Miltoniopsis",18.6,7
16.6,74,321,0,2022-03-23,"Miltoniopsis",16.8,6
22.7,81,278,0,2022-03-19,"Vanda",27.5,7
25.5,73,260,41,2022-04-20,"Dendrobium",18.8,6
2.9,0,302,39,2022-04-05,"Odontoglossum",19.8,7
15.7,64,252,0,2022-03-19,"Phalaenopsis",28.2,4
11.9,89,286,34,2022-03-23,"Cymbidium",18.4,5
